Results of "10_5-methoxydimethyltryptamine":
   0:     942272 ( 57, -63,  64)  2348747.750000 : "10_5-methoxydimethyltryptamine"
   1:         10 (  0,   0,  10)  0.599431 : "10_Bufotenine"
  13:    1917312 (-11,   3,   0)  0.333006 : "10_Cantharidin"
  21:    1934720 (-10,  11,   0)  0.474626 : "10_Cocaine"
   1:    2031629 ( -4,   0,  13)  0.565810 : "10_DET"
  13:    1899907 (-13,  -5,   3)  0.459556 : "10_DMA"
   0:    1638928 (-28,   4,  16)  0.513856 : "10_DMHP"
   3:    2080768 ( -1,   0,   0)  0.727723 : "10_DMT"
  11:    1899904 (-13,  -5,   0)  0.443481 : "10_DOB"
   7:    1933057 (-11,  -2,   1)  0.478315 : "10_Desomorphine"
   1:    1884551 (-13,   3,   7)  0.542549 : "10_Ethyl-Piperidyl_benzilate"
   9:    1769598 (-20,   0,  -2)  0.569661 : "10_Etorphine"
  16:    1884414 (-13,   1,  -2)  0.646767 : "10_Ketobemidone"
  12:    1819264 (-17,   5,   0)  0.495521 : "10_Lysergide"
  20:    1933057 (-11,  -2,   1)  0.496222 : "10_MDA"
  22:    1982208 ( -8,  -2,   0)  0.457062 : "10_MMDA2_2-methoxy-4,5-methylenedioxyamphetamine"
   0:    1752969 (-22,  -1,   9)  0.379240 : "10_MMDA_3-methoxy-4,5-methylenedioxyamphetamine"
   9:    1884160 (-13,   0,   0)  0.504876 : "10_MPTP"
   3:    1965585 ( -9,  -4,  17)  0.527569 : "10_Mescaline"
   5:    1835008 (-16,   0,   0)  0.375974 : "10_Methamphetamine"
   5:    1932544 (-11,  -6,   0)  0.462737 : "10_Methyl-Piperidyl_benzilate"
  17:    1885056 (-13,   7,   0)  0.544144 : "10_P0_5F-ADB"
  17:    1753220 (-21,   1,   4)  0.521280 : "10_P0_AMB-FUBINACA"
  13:    1900672 (-12,   1,   0)  0.614030 : "10_PCE"
  14:    1917180 (-11,   1,  -4)  0.590258 : "10_PCPY"
  13:    1900422 (-13,  -1,   6)  0.620616 : "10_PEPTP"
   9:    1900161 (-13,  -3,   1)  0.410242 : "10_PMA"
   1:     114308 (  6,  -3,   4)  0.613513 : "10_Parahexyl"
  23:    1917184 (-11,   2,   0)  0.640410 : "10_Phencyclidine"
   1:    2080768 ( -1,   0,   0)  0.617415 : "10_Psilocine"
  19:    1934336 (-10,   8,   0)  0.353113 : "10_Psilocybine"
  20:    1868032 (-14,   2,   0)  0.519283 : "10_STP_DOM"
  12:    1867648 (-15,  -1,   0)  0.512438 : "10_TCP"
   5:      16134 (  0,  -2,   6)  0.524594 : "10_TMA"
Results of "10_Bufotenine":
   0:    1177691 (-48, -51, -61)  3702346.000000 : "10_5-methoxydimethyltryptamine"
   0:          7 (  0,   0,   7)  1.000000 : "10_Bufotenine"
   9:     123876 (  8,   7,   0)  0.284528 : "10_Cantharidin"
  17:     123750 (  8,   5,  -2)  0.448361 : "10_Cocaine"
   0:    1845244 ( -4,   1,   0)  0.490535 : "10_DET"
  22:     230896 ( 15,   2,   8)  0.440375 : "10_DMA"
  10:     229271 ( 14, -12,  -5)  0.522664 : "10_DMHP"
   2:    1891382 ( -1,   1,  10)  0.656666 : "10_DMT"
  15:     153017 (  9,  -6,   1)  0.395991 : "10_DOB"
  17:     123015 (  8,   0,   7)  0.424379 : "10_Desomorphine"
  19:      46254 (  3,   1,   2)  0.532674 : "10_Ethyl-Piperidyl_benzilate"
  19:     123876 (  8,   7,   0)  0.489620 : "10_Etorphine"
   9:     170498 ( 11,  10,  -2)  0.420352 : "10_Ketobemidone"
   4:        744 (  0,   6,   0)  0.375599 : "10_Lysergide"
  22:     184884 ( 12,   3,   0)  0.328776 : "10_MDA"
  10:     184887 ( 12,   3,   3)  0.413566 : "10_MMDA2_2-methoxy-4,5-methylenedioxyamphetamine"
  19:     199268 ( 12,  -5,   0)  0.402313 : "10_MMDA_3-methoxy-4,5-methylenedioxyamphetamine"
  10:     154256 ( 10,   4,   0)  0.463403 : "10_MPTP"
  15:     169011 ( 10,  -2,  -1)  0.551131 : "10_Mescaline"
  15:     184505 ( 11,  -1,  -7)  0.274386 : "10_Methamphetamine"
  12:      61879 (  4,   3,   3)  0.378697 : "10_Methyl-Piperidyl_benzilate"
   6:      90770 (  5, -12,   2)  0.553492 : "10_P0_5F-ADB"
   7:      62621 (  4,   9,   1)  0.478945 : "10_P0_AMB-FUBINACA"
  18:     154377 ( 10,   4,  -3)  0.454007 : "10_PCE"
  18:     107383 (  6,  -3,  -1)  0.454646 : "10_PCPY"
  17:     168524 ( 10,  -5,   8)  0.520077 : "10_PEPTP"
  10:     121279 (  7, -14,   7)  0.369248 : "10_PMA"
  12:     121650 (  7, -11,   6)  0.522555 : "10_Parahexyl"
  19:     170499 ( 11,  10,  -1)  0.482444 : "10_Phencyclidine"
   0:    1891373 ( -1,   1,   1)  0.703731 : "10_Psilocine"
   3:    1906509 ( -1,  -1,   9)  0.598761 : "10_Psilocybine"
  19:    1906615 ( -1,  -1,  -9)  0.394816 : "10_STP_DOM"
   0:     138012 (  8,  -3,   0)  0.451447 : "10_TCP"
  10:     168640 ( 10,  -4,   0)  0.487649 : "10_TMA"
Results of "10_Cantharidin":
   0:     504942 (-33, -32,  46)  855905.875000 : "10_5-methoxydimethyltryptamine"
  22:      51064 (  6,   3,   4)  0.591695 : "10_Bufotenine"
   0:          7 (  0,   0,   7)  1.000000 : "10_Cantharidin"
  17:      34592 (  4,   8,   0)  0.697167 : "10_Cocaine"
  17:      52361 (  6,  17,  13)  0.570965 : "10_DET"
  10:      58885 (  6,  -4,   5)  0.691721 : "10_DMA"
  19:      52808 (  6,  22,   0)  0.703008 : "10_DMHP"
  19:      51060 (  6,   3,   0)  0.601418 : "10_DMT"
  15:      50513 (  5,  -3,   5)  0.814954 : "10_DOB"
  14:      50324 (  5,  -5,   0)  0.755422 : "10_Desomorphine"
  23:     144335 ( 17,   4, -13)  0.537447 : "10_Ethyl-Piperidyl_benzilate"
   7:      93656 ( 11,   6,   0)  1.104342 : "10_Etorphine"
  20:     127240 ( 15,   3,   4)  0.775531 : "10_Ketobemidone"
