Results of "10_41_Lysergic_acid":
   0:     725823 ( 50,  48, -57)  2869610.500000 : "10_41_Lysergic_acid"
  22:     159228 ( 11,   6, -12)  0.430690 : "10_5-methoxydimethyltryptamine"
   6:    1641240 ( -7,  -3,   0)  0.348948 : "10_Bufotenine"
  12:     128760 (  8,  -7,   0)  0.239702 : "10_Cantharidin"
   7:      57481 (  3,  -1,   1)  0.532902 : "10_Cocaine"
   2:      71408 (  4,  -5,   8)  0.312670 : "10_DET"
   3:    1727762 ( -1,  -2,   2)  0.526928 : "10_DMA"
  10:      55572 (  3, -17,  12)  0.431947 : "10_DMHP"
   7:    1641354 ( -7,  -3,  -6)  0.348327 : "10_DMT"
   6:    1727882 ( -1,  -1,   2)  0.507583 : "10_DOB"
   3:    1669920 ( -5,  -4,   0)  0.366675 : "10_Desomorphine"
  20:    1727991 ( -1,  -1,  -9)  0.336323 : "10_Ethyl-Piperidyl_benzilate"
  10:    1641720 ( -6,   1,   0)  0.442262 : "10_Etorphine"
  12:     101033 (  7,   1,  -7)  0.403535 : "10_Ketobemidone"
   8:      27480 (  1, -11,   0)  0.395143 : "10_Lysergide"
   5:    1713483 ( -2,  -1,   3)  0.291690 : "10_MDA"
  22:      13080 (  0, -11,   0)  0.395788 : "10_MMDA2_2-methoxy-4,5-methylenedioxyamphetamine"
  19:      27709 (  1, -10, -11)  0.381965 : "10_MMDA_3-methoxy-4,5-methylenedioxyamphetamine"
  11:      71520 (  4,  -4,   0)  0.330192 : "10_MPTP"
  21:    1656130 ( -5,   1,  10)  0.459200 : "10_Mescaline"
   0:      13800 (  0,  -5,   0)  0.340390 : "10_Methamphetamine"
  20:     116050 (  8,   7,  10)  0.292375 : "10_Methyl-Piperidyl_benzilate"
  21:     302637 ( 21,   1,  -3)  0.400587 : "10_P0_5F-ADB"
  17:    1713844 ( -1,   2,   4)  0.485522 : "10_P0_AMB-FUBINACA"
  13:    1713605 ( -1,   0,   5)  0.507092 : "10_PCE"
   9:     144003 ( 10,   0,   3)  0.421158 : "10_PCPY"
  23:     129601 (  9,   0,   1)  0.420956 : "10_PEPTP"
  14:     129479 (  8,  -2,  -1)  0.352130 : "10_PMA"
   8:    1700531 ( -2,  11,  11)  0.432024 : "10_Parahexyl"
  23:     115564 (  8,   3,   4)  0.467117 : "10_Phencyclidine"
  15:     116148 (  8,   7, -12)  0.386465 : "10_Psilocine"
  21:     157688 ( 10,  -6,   8)  0.328282 : "10_Psilocybine"
   3:      41894 (  2, -11,  14)  0.403012 : "10_STP_DOM"
  13:    1671120 ( -4,   6,   0)  0.359372 : "10_TCP"
   5:     172558 ( 11,  -3,  -2)  0.535180 : "10_TMA"
   1:     100563 (  6,  -2,   3)  0.267142 : "21_1-4-butanediol"
   3:      57240 (  3,  -3,   0)  0.474235 : "21_25B-NBOMe"
   3:      57240 (  3,  -3,   0)  0.483223 : "21_25C-NBOMe"
   2:      42600 (  2,  -5,   0)  0.305550 : "21_Amphetamine"
